efSearch,search_time,accuracy
10,0.0006730556488037109,1.0
10,0.0007834434509277344,1.0
10,0.0012485980987548828,1.0
10,0.0011472702026367188,0.8
10,0.0005207061767578125,1.0
10,0.0008580684661865234,0.0
10,0.0006966590881347656,0.4
10,0.0007190704345703125,0.0
10,0.0007224082946777344,1.0
10,0.0006318092346191406,0.2
10,0.0006887912750244141,0.8
10,0.0006124973297119141,0.0
10,0.0005886554718017578,0.0
10,0.00067138671875,1.0
10,0.0009462833404541016,0.0
10,0.000732421875,0.0
10,0.0006861686706542969,1.0
10,0.0005884170532226562,1.0
10,0.0005562305450439453,0.6
10,0.0006170272827148438,0.8
10,0.0007069110870361328,1.0
10,0.0006062984466552734,1.0
10,0.0006005764007568359,0.6
10,0.0009930133819580078,0.8
10,0.0006940364837646484,0.2
10,0.0006151199340820312,1.0
10,0.0004916191101074219,0.2
10,0.0006685256958007812,1.0
10,0.0008070468902587891,1.0
10,0.0009393692016601562,1.0
10,0.0006814002990722656,1.0
10,0.0006372928619384766,1.0
10,0.0005176067352294922,1.0
10,0.00047898292541503906,0.4
10,0.0007185935974121094,0.8
10,0.0007274150848388672,1.0
10,0.0006155967712402344,1.0
10,0.0008511543273925781,1.0
10,0.0005967617034912109,1.0
10,0.000614166259765625,1.0
10,0.00054931640625,0.8
10,0.0006220340728759766,0.8
10,0.0006916522979736328,1.0
10,0.00072479248046875,0.2
10,0.0006031990051269531,1.0
10,0.0010821819305419922,0.0
10,0.0006802082061767578,1.0
10,0.0006673336029052734,1.0
10,0.0006597042083740234,1.0
10,0.0005528926849365234,0.8
10,0.0005385875701904297,1.0
10,0.0005564689636230469,1.0
10,0.0005638599395751953,1.0
10,0.0005855560302734375,0.6
10,0.0005638599395751953,1.0
10,0.000682830810546875,1.0
10,0.0006763935089111328,1.0
10,0.0007059574127197266,1.0
10,0.0008530616760253906,0.8
10,0.0006680488586425781,1.0
10,0.0006430149078369141,1.0
10,0.0005984306335449219,1.0
10,0.0006756782531738281,1.0
10,0.0006926059722900391,0.6
10,0.0005142688751220703,1.0
10,0.0006189346313476562,1.0
10,0.0006327629089355469,0.2
10,0.0004985332489013672,0.0
10,0.0008983612060546875,0.6
10,0.0009832382202148438,1.0
10,0.0006139278411865234,1.0
10,0.0006885528564453125,1.0
10,0.0005564689636230469,1.0
10,0.000659942626953125,0.6
10,0.0006139278411865234,1.0
10,0.0007200241088867188,1.0
10,0.0005505084991455078,1.0
10,0.0005643367767333984,0.8
10,0.000621795654296875,1.0
10,0.0005936622619628906,1.0
10,0.0006549358367919922,1.0
10,0.0006775856018066406,1.0
10,0.0007913112640380859,0.8
10,0.0006277561187744141,0.0
10,0.00047898292541503906,1.0
10,0.0006582736968994141,0.0
10,0.0005331039428710938,1.0
10,0.0006256103515625,1.0
10,0.000827789306640625,0.8
10,0.0007169246673583984,0.0
10,0.0006101131439208984,0.0
10,0.0007307529449462891,0.0
10,0.0005419254302978516,1.0
10,0.000484466552734375,0.8
10,0.0006818771362304688,1.0
10,0.0004966259002685547,1.0
10,0.0006601810455322266,0.8
10,0.0005772113800048828,1.0
10,0.0005390644073486328,1.0
10,0.0005486011505126953,1.0
10,0.0006480216979980469,1.0
10,0.0006597042083740234,1.0
10,0.0006356239318847656,1.0
10,0.0007460117340087891,1.0
10,0.0005817413330078125,1.0
10,0.0005702972412109375,1.0
10,0.0006651878356933594,0.0
10,0.0007064342498779297,1.0
10,0.0005283355712890625,1.0
10,0.0006747245788574219,1.0
10,0.0006353855133056641,0.0
10,0.0010597705841064453,0.0
10,0.0007772445678710938,1.0
10,0.0007274150848388672,0.0
10,0.0006988048553466797,0.4
10,0.0008487701416015625,1.0
10,0.0006015300750732422,1.0
10,0.0009024143218994141,1.0
10,0.0010929107666015625,0.4
10,0.0005841255187988281,1.0
10,0.0008831024169921875,0.6
10,0.0006706714630126953,0.6
10,0.00048351287841796875,1.0
10,0.0005893707275390625,0.0
10,0.000583648681640625,0.0
10,0.0008175373077392578,1.0
10,0.0006415843963623047,1.0
10,0.0006811618804931641,0.8
10,0.0005505084991455078,1.0
10,0.001047372817993164,0.0
10,0.0007674694061279297,0.0
10,0.0005474090576171875,1.0
10,0.000720977783203125,1.0
10,0.0005750656127929688,1.0
10,0.0005950927734375,0.2
10,0.0006999969482421875,0.0
10,0.0004582405090332031,1.0
10,0.0007393360137939453,1.0
10,0.0007584095001220703,0.8
10,0.00061798095703125,1.0
10,0.0006630420684814453,1.0
10,0.0006761550903320312,1.0
10,0.0005564689636230469,1.0
10,0.00046181678771972656,0.8
10,0.0005738735198974609,1.0
10,0.0009369850158691406,1.0
10,0.0006535053253173828,1.0
10,0.0005955696105957031,0.0
10,0.0005218982696533203,1.0
10,0.0006721019744873047,0.4
10,0.0006129741668701172,1.0
10,0.0005640983581542969,1.0
10,0.0006403923034667969,1.0
10,0.0006520748138427734,1.0
10,0.0005083084106445312,1.0
10,0.000621795654296875,1.0
10,0.0006213188171386719,1.0
10,0.0007083415985107422,0.8
10,0.0006353855133056641,0.0
10,0.0007746219635009766,1.0
10,0.0007674694061279297,0.8
10,0.0005972385406494141,0.6
10,0.0007023811340332031,1.0
10,0.0010199546813964844,0.8
10,0.0010116100311279297,1.0
10,0.00069427490234375,1.0
10,0.0005834102630615234,1.0
10,0.0010216236114501953,0.8
10,0.0005016326904296875,1.0
10,0.0007233619689941406,1.0
10,0.0005440711975097656,1.0
10,0.0005717277526855469,1.0
10,0.0009462833404541016,0.2
10,0.0006461143493652344,0.8
10,0.0006000995635986328,0.8
10,0.000713348388671875,0.2
10,0.0005617141723632812,0.8
10,0.0006225109100341797,1.0
10,0.000667572021484375,1.0
10,0.000774383544921875,1.0
10,0.0005593299865722656,1.0
10,0.0005807876586914062,1.0
10,0.0005786418914794922,1.0
10,0.0007758140563964844,0.4
10,0.0007522106170654297,0.6
10,0.0006389617919921875,0.2
10,0.0005438327789306641,0.0
10,0.0006561279296875,0.8
10,0.0007965564727783203,1.0
10,0.0007038116455078125,0.0
10,0.0009388923645019531,1.0
10,0.001032114028930664,1.0
10,0.0006198883056640625,0.0
10,0.0009627342224121094,0.8
10,0.0005693435668945312,1.0
10,0.00063323974609375,1.0
10,0.0005924701690673828,1.0
10,0.0007135868072509766,1.0
10,0.0007224082946777344,0.6
10,0.00046706199645996094,1.0
10,0.0007631778717041016,0.0
10,0.0006380081176757812,1.0
10,0.0008535385131835938,1.0
10,0.0005941390991210938,0.0
10,0.0004799365997314453,1.0
10,0.0006856918334960938,0.4
10,0.0006048679351806641,1.0
10,0.0006303787231445312,0.0
10,0.0005881786346435547,1.0
10,0.0005829334259033203,1.0
10,0.0006761550903320312,1.0
10,0.0006396770477294922,1.0
10,0.0005214214324951172,1.0
10,0.0008447170257568359,1.0
10,0.0007734298706054688,0.6
10,0.0005259513854980469,1.0
10,0.0005781650543212891,1.0
10,0.0006265640258789062,0.4
10,0.0006196498870849609,0.0
10,0.0008866786956787109,0.8
10,0.0005762577056884766,1.0
10,0.0005617141723632812,1.0
10,0.0009355545043945312,0.8
10,0.000637054443359375,0.6
10,0.0006673336029052734,1.0
10,0.0005831718444824219,1.0
10,0.0006802082061767578,1.0
10,0.0006082057952880859,0.4
10,0.0005395412445068359,1.0
10,0.000530242919921875,1.0
10,0.0006346702575683594,1.0
10,0.0007126331329345703,1.0
10,0.0006442070007324219,1.0
10,0.0007805824279785156,0.0
10,0.0005805492401123047,1.0
10,0.0006611347198486328,0.8
10,0.0005631446838378906,1.0
10,0.000560760498046875,1.0
10,0.0006225109100341797,1.0
10,0.0007486343383789062,1.0
10,0.0006272792816162109,0.8
10,0.0005326271057128906,0.8
10,0.0006680488586425781,1.0
10,0.0009291172027587891,1.0
10,0.0005962848663330078,1.0
